method,matrix_size,m,n,gpu,repeat,total_ms,speedup_vs_none,host_gpu_mib,nvlink_mib,ib_mib
none,16k,65536,16384,8,5,191.8,1,304.0,112.0,36.0
TQ4,16k,65536,16384,8,5,127.167,1.50825,200.25,28.875,8.12502
none,32k,65536,32768,8,5,390.574,1,592.0,224.0,68.0
TQ4,32k,65536,32768,8,5,219.111,1.78254,384.5,57.75,12.25
none,48k,65536,49152,8,5,554.465,1,880.0,336.0,100.0
TQ4,48k,65536,49152,8,5,305.028,1.81775,568.75,86.625,16.375
none,64k,65536,65536,8,5,747.653,1,1168.0,448.0,132.0
TQ4,64k,65536,65536,8,5,394.734,1.89407,753.0,115.5,20.5
none,80k,65536,81920,8,5,896.513,1,1456.0,560.0,164.0
TQ4,80k,65536,81920,8,5,485.348,1.84716,937.25,144.375,24.625
none,96k,65536,98304,8,5,1081.85,1,1744.0,672.0,196.0
TQ4,96k,65536,98304,8,5,576.789,1.87564,1121.5,173.25,28.75
none,112k,65536,114688,8,5,1264.79,1,2032.0,784.0,228.0
TQ4,112k,65536,114688,8,5,675.419,1.8726,1305.75,202.125,32.875
none,128k,65536,131072,8,5,1425.84,1,2320.0,896.0,260.0
TQ4,128k,65536,131072,8,5,645.404,2.20922,1490.0,231.0,37.0
none,144k,65536,147456,8,5,1621.28,1,2608.0,1008.0,292.0
TQ4,144k,65536,147456,8,5,851.43,1.90418,1674.25,259.875,41.125
none,160k,65536,163840,8,5,1779.63,1,2896.0,1120.0,324.0
TQ4,160k,65536,163840,8,5,948.147,1.87696,1858.5,288.75,45.25
none,176k,65536,180224,8,5,1870.43,1,3184.0,1232.0,356.0
TQ4,176k,65536,180224,8,5,1027.9,1.81966,2042.75,317.625,49.375
none,192k,65536,196608,8,5,2130.48,1,3472.0,1344.0,388.0
TQ4,192k,65536,196608,8,5,1126.54,1.89117,2227.0,346.5,53.5
none,208k,65536,212992,8,5,2337.8,1,3760.0,1456.0,420.0
TQ4,208k,65536,212992,8,5,1217.65,1.91993,2411.25,375.375,57.625
none,224k,65536,229376,8,5,2500.09,1,4048.0,1568.0,452.0
TQ4,224k,65536,229376,8,5,1258.02,1.98732,2595.5,404.25,61.75
none,240k,65536,245760,8,5,2496.44,1,4336.0,1680.0,484.0
TQ4,240k,65536,245760,8,5,1397.75,1.78604,2779.75,433.125,65.875
none,256k,65536,262144,8,5,2754.57,1,4624.0,1792.0,516.0
TQ4,256k,65536,262144,8,5,1288.49,2.13783,2964.0,462.0,70.0
none,272k,65536,278528,8,5,3021.02,1,4912.0,1904.0,548.0
TQ4,272k,65536,278528,8,5,1527.15,1.97821,3148.25,490.875,74.125
none,288k,65536,294912,8,5,3070.79,1,5200.0,2016.0,580.0
TQ4,288k,65536,294912,8,5,1626.2,1.88832,3332.5,519.75,78.25
none,304k,65536,311296,8,5,3162.3,1,5488.0,2128.0,612.0
TQ4,304k,65536,311296,8,5,1756.52,1.80032,3516.75,548.625,82.375
none,320k,65536,327680,8,5,3567.47,1,5776.0,2240.0,644.0
TQ4,320k,65536,327680,8,5,1848.68,1.92974,3701.0,577.5,86.5
