method,nodes,mpi_ranks,gpu,matrix_size,m,n,repeat,total_ms,speedup_vs_none,host_gpu_mib,nvlink_mib,ib_mib,final_reconstruction_error
none,2,2,16,16k,32768,16384,5,173.886,1,368.0,448.0,80.0,
TQ4,2,2,16,16k,32768,16384,5,94.1075,1.84774,116.625,281.75,24.25,
none,2,2,16,32k,32768,32768,5,358.948,1,704.0,896.0,144.0,
TQ4,2,2,16,32k,32768,32768,5,149.274,2.40463,201.25,563.5,32.5,
none,2,2,16,48k,32768,49152,5,511.924,1,1040.0,1344.0,208.0,
TQ4,2,2,16,48k,32768,49152,5,199.218,2.56967,285.875,845.25,40.75,
none,2,2,16,64k,32768,65536,5,666.058,1,1376.0,1792.0,272.0,
TQ4,2,2,16,64k,32768,65536,5,253.829,2.62404,370.5,1127.0,49.0,
none,2,2,16,80k,32768,81920,5,829.198,1,1712.0,2240.0,336.0,
TQ4,2,2,16,80k,32768,81920,5,311.277,2.66386,455.125,1408.75,57.25,
none,2,2,16,96k,32768,98304,5,994.046,1,2048.0,2688.0,400.0,
TQ4,2,2,16,96k,32768,98304,5,361.789,2.74758,539.75,1690.5,65.5,
none,2,2,16,112k,32768,114688,5,1150.41,1,2384.0,3136.0,464.0,
TQ4,2,2,16,112k,32768,114688,5,420.038,2.73882,624.375,1972.25,73.75,
none,2,2,16,128k,32768,131072,5,1305.32,1,2720.0,3584.0,528.0,
TQ4,2,2,16,128k,32768,131072,5,490.947,2.65878,709.0,2254.0,82.0,
none,2,2,16,144k,32768,147456,5,1468.89,1,3056.0,4032.0,592.0,
TQ4,2,2,16,144k,32768,147456,5,543.114,2.70457,793.625,2535.75,90.25,
none,2,2,16,160k,32768,163840,5,1638.0,1,3392.0,4480.0,656.0,
TQ4,2,2,16,160k,32768,163840,5,592.765,2.76332,878.25,2817.5,98.5,
none,2,2,16,176k,32768,180224,5,1788.67,1,3728.0,4928.0,720.0,
TQ4,2,2,16,176k,32768,180224,5,657.994,2.71837,962.875,3099.25,106.75,
none,2,2,16,192k,32768,196608,5,1946.87,1,4064.0,5376.0,784.0,
TQ4,2,2,16,192k,32768,196608,5,688.244,2.82875,1047.5,3381.0,115.0,
none,2,2,16,208k,32768,212992,5,2091.3,1,4400.0,5824.0,848.0,
TQ4,2,2,16,208k,32768,212992,5,768.754,2.72038,1132.12,3662.75,123.25,
none,2,2,16,224k,32768,229376,5,2251.68,1,4736.0,6272.0,912.0,
TQ4,2,2,16,224k,32768,229376,5,816.479,2.75779,1216.75,3944.5,131.5,
none,2,2,16,240k,32768,245760,5,2400.09,1,5072.0,6720.0,976.0,
TQ4,2,2,16,240k,32768,245760,5,887.221,2.70518,1301.38,4226.25,139.75,
none,2,2,16,256k,32768,262144,5,2544.67,1,5408.0,7168.0,1040.0,
TQ4,2,2,16,256k,32768,262144,5,959.254,2.65276,1386.0,4508.0,148.0,
none,2,2,16,272k,32768,278528,5,2718.45,1,5744.0,7616.0,1104.0,
TQ4,2,2,16,272k,32768,278528,5,1016.99,2.67304,1470.62,4789.75,156.25,
none,2,2,16,288k,32768,294912,5,2904.71,1,6080.0,8064.0,1168.0,
TQ4,2,2,16,288k,32768,294912,5,1080.43,2.68848,1555.25,5071.5,164.5,
none,2,2,16,304k,32768,311296,5,3017.67,1,6416.0,8512.0,1232.0,
TQ4,2,2,16,304k,32768,311296,5,1129.84,2.67088,1639.88,5353.25,172.75,
none,2,2,16,320k,32768,327680,5,3160.0,1,6752.0,8960.0,1296.0,
TQ4,2,2,16,320k,32768,327680,5,1195.29,2.64371,1724.5,5635.0,181.0,
none,2,2,16,336k,32768,344064,5,3364.86,1,7088.0,9408.0,1360.0,
TQ4,2,2,16,336k,32768,344064,5,1243.18,2.70666,1809.12,5916.75,189.25,
none,2,2,16,352k,32768,360448,5,3473.62,1,7424.0,9856.0,1424.0,
TQ4,2,2,16,352k,32768,360448,5,1305.64,2.66047,1893.75,6198.5,197.5,
none,2,2,16,368k,32768,376832,5,3662.56,1,7760.0,10304.0,1488.0,
TQ4,2,2,16,368k,32768,376832,5,1364.83,2.68353,1978.38,6480.25,205.75,
none,2,2,16,384k,32768,393216,5,3811.08,1,8096.0,10752.0,1552.0,
TQ4,2,2,16,384k,32768,393216,5,1396.25,2.72951,2063.0,6762.0,214.0,
none,2,2,16,400k,32768,409600,5,3974.93,1,8432.0,11200.0,1616.0,
TQ4,2,2,16,400k,32768,409600,5,1477.97,2.68945,2147.62,7043.75,222.25,
none,2,2,16,416k,32768,425984,5,4116.09,1,8768.0,11648.0,1680.0,
TQ4,2,2,16,416k,32768,425984,5,1533.62,2.6839,2232.25,7325.5,230.5,
none,2,2,16,432k,32768,442368,5,4259.2,1,9104.0,12096.0,1744.0,
TQ4,2,2,16,432k,32768,442368,5,1590.07,2.67862,2316.88,7607.25,238.75,
none,2,2,16,448k,32768,458752,5,4479.36,1,9440.0,12544.0,1808.0,
TQ4,2,2,16,448k,32768,458752,5,1616.74,2.77061,2401.5,7889.0,247.0,
